,date,open,high,low,close,volume,average,barCount
1044,2021-01-15,3788.73,3788.73,3749.62,3768.25,0,0.0,21611
1045,2021-01-19,3781.88,3804.53,3780.37,3798.91,0,0.0,21114
1046,2021-01-20,3816.22,3859.75,3816.22,3851.85,0,0.0,21104
1047,2021-01-21,3857.46,3861.45,3845.05,3853.07,0,0.0,21047
1048,2021-01-22,3844.24,3852.31,3830.41,3841.47,0,0.0,21143
1049,2021-01-25,3851.68,3859.23,3797.16,3855.36,0,0.0,22095
1050,2021-01-26,3862.96,3870.9,3847.78,3849.62,0,0.0,21413
1051,2021-01-27,3836.83,3836.83,3732.48,3750.77,0,0.0,22410
1052,2021-01-28,3755.75,3830.5,3755.75,3787.38,0,0.0,22281
1053,2021-01-29,3778.05,3778.05,3694.12,3714.24,0,0.0,22426
1054,2021-02-01,3731.17,3784.32,3725.62,3773.86,0,0.0,21866
1055,2021-02-02,3791.84,3843.09,3791.84,3826.31,0,0.0,21237
1056,2021-02-03,3840.27,3847.51,3816.68,3830.17,0,0.0,21476
1057,2021-02-04,3836.66,3872.42,3836.66,3871.74,0,0.0,20912
1058,2021-02-05,3878.3,3894.56,3874.93,3886.83,0,0.0,20993
1059,2021-02-08,3892.59,3915.59,3892.59,3915.59,0,0.0,20838
1060,2021-02-09,3910.49,3918.35,3902.64,3911.23,0,0.0,20638
1061,2021-02-10,3920.78,3931.5,3884.94,3909.88,0,0.0,21352
1062,2021-02-11,3916.4,3925.99,3890.39,3916.38,0,0.0,21167
1063,2021-02-12,3911.65,3937.23,3905.78,3934.83,0,0.0,20676
1064,2021-02-16,3939.61,3950.43,3923.85,3932.59,0,0.0,21178
1065,2021-02-17,3918.5,3933.61,3900.43,3931.33,0,0.0,21332
1066,2021-02-18,3915.86,3921.98,3885.03,3913.97,0,0.0,21201
1067,2021-02-19,3921.16,3930.41,3903.07,3906.71,0,0.0,21261
1068,2021-02-22,3885.55,3902.92,3874.71,3876.5,0,0.0,21438
1069,2021-02-23,3857.07,3895.98,3805.59,3881.37,0,0.0,22276
1070,2021-02-24,3873.71,3928.65,3859.6,3925.43,0,0.0,21825
1071,2021-02-25,3915.8,3925.02,3814.04,3829.34,0,0.0,22496
1072,2021-02-26,3839.66,3861.08,3789.54,3811.15,0,0.0,22458
